time,mass,radius,x,y,z,x-velocity,y-velocity,z-velocity,x-acceleration,y-acceleration,z-acceleration,x-force,y-force,z-force
322312,7.349999999999999e+22,1700000.0,216092556.47670275,287247901.92883176,0.0,-845.403072921038,610.3514263955828,0.0,-0.0018205695498013043,-0.002470237710176198,0.0,-1.3381186191039585e+20,-1.8156247169795054e+20,0.0
325912,7.349999999999999e+22,1700000.0,213037370.10910904,289429126.48899025,0.0,-851.9108725768825,601.4233170466557,0.0,-0.0017948534405748601,-0.0024897690942811725,0.0,-1.319217278822522e+20,-1.8299802842966616e+20,0.0
329512,7.349999999999999e+22,1700000.0,209958922.66997343,291578083.9222147,0.0,-858.3257115515112,592.4253618106524,0.0,-0.0017689252511423803,-0.0025090407316297634,0.0,-1.3001600595896494e+20,-1.844144937747876e+20,0.0
333112,7.349999999999999e+22,1700000.0,206857550.1859839,293694524.47062415,0.0,-864.6468307640986,583.35850001603,0.0,-0.0017427874334720473,-0.0025280502710927125,0.0,-1.2809487636019546e+20,-1.8581169492531436e+20,0.0
336712,7.349999999999999e+22,1700000.0,203733591.40057883,295778201.773106,0.0,-870.8734800093702,574.2236794205851,0.0,-0.0017164424664330889,-0.002546795380876933,0.0,-1.2615852128283202e+20,-1.8718946049445455e+20,0.0
340312,7.349999999999999e+22,1700000.0,200587387.7418249,297828872.8955327,0.0,-877.0049180543347,565.0218561412656,0.0,-0.0016898928557329252,-0.002565273748844511,0.0,-1.2420712489636998e+20,-1.8854762054007154e+20,0.0
343912,7.349999999999999e+22,1700000.0,197419283.28994223,299846298.3607327,0.0,-883.0404127347881,555.7539945828369,0.0,-0.001663141133850404,-0.002583483082834004,0.0,-1.2224087333800468e+20,-1.8988600658829928e+20,0.0
347512,7.349999999999999e+22,1700000.0,194229624.74448213,301830242.17818946,0.0,-888.9792410515538,546.4210673653813,0.0,-0.0016361898599652615,-0.002601421110984086,0.0,-1.2025995470744671e+20,-1.912044516573303e+20,0.0
351112,7.349999999999999e+22,1700000.0,191018761.39116177,303780471.8734921,0.0,-894.8206892664869,537.0240552506322,0.0,-0.0016090416198834355,-0.002619085582059262,0.0,-1.182645590614325e+20,-1.9250279028135576e+20,0.0
354712,7.349999999999999e+22,1700000.0,187787045.06835142,305696758.51750124,0.0,-900.5640529981749,527.56394706713,0.0,-0.0015816990259584919,-0.0026364742657779116,0.0,-1.1625487840794914e+20,-1.937808585346765e+20,0.0
